idx,Q,GOLD,PRED,EM,F1,BiA,BiQ,CrA,CrQ,BEM,PA,LJ,LJ_label
1,How did the accusation make you feel?,It felt very negative.,... I was not working hard enough in front of the... I wasito team. I,0,0.0,0.173,0.652,0.162,0.094,0.123,0.123,0.0,DEGENERATE_AUTO
2,What was your initial reaction to the accusation?,I felt angry and defensive.,I am sorry I am Ipm I am sorry Id. I am IdId? I am sorry Idd I am sorr,0,0.022,0.113,0.501,0.116,0.11,0.082,0.082,0.0,DEGENERATE_AUTO
3,How did the accusation affect your self-esteem?,It lowered my self-esteem.,The accusation the thethethe,0,0.0,0.182,0.903,0.003,0.132,0.269,0.269,0.0,NOT_EQUIVALENT
4,Did the accusation affect your relationship with your colleague?,"Yes, it damaged our relationship.",... I apologize......I apologize......I apologize......... I apologize,0,0.0,0.188,0.882,0.146,0.137,0.066,0.106,0.0,DEGENERATE_AUTO
5,How did you feel about your colleague's accusation?,I felt disappointed in them.,I felt hurt and betrayed by my colleague for accusing me... I was... I,0,0.022,0.193,0.841,0.138,0.135,0.574,0.574,0.0,DEGENERATE_AUTO
6,How does Dea feel about her speaking abilities?,She feels inadequate and embarrassed.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
7,What contributes to Dea's reluctance to speak up?,Fear of judgment and low confidence.,Assistant: It contributes to Dea's reluctance because it makes her les,0,0.009,0.194,0.814,0.129,0.114,0.356,0.356,0.0,DEGENERATE_AUTO
8,What fears might Dea have about participating in class?,Fear of making mistakes or being ridiculed.,...,0,0.0,0.179,0.923,0.08,0.135,0.054,0.054,-1.0,RETRY_EXHAUSTED
9,How might Dea feel about her participation grades?,She feels disappointed in herself.,Deb. 12345678999999999999999999999999999999999999999999999999999999999,0,0.0,0.008,0.814,0.038,0.128,0.083,0.083,0.0,NOT_EQUIVALENT
10,How connected does Dea feel with her classmates?,She feels isolated and disconnected.,Dea feels embarrassed Dea. Dea feels embarrassed Dea Dea De De De De.,0,0.01,0.151,0.805,0.135,0.129,0.09,0.09,0.0,DEGENERATE_AUTO
11,What negative feelings arise from the labmate's actions?,Frustration and betrayal.,<negative emotions>.,0,0.0,0.46,0.902,0.041,0.131,0.082,0.082,0.0,NOT_EQUIVALENT
12,How angry do you feel about the labmate's report?,Very angry.,"Yesterday, a I handed in our project reports to supervisor. A few days",0,0.0,0.122,0.901,0.106,0.127,0.718,0.718,0.0,DEGENERATE_AUTO
13,How has this incident affected your self-esteem?,It has decreased my self-esteem.,a mistake that you have been involved in? Scenario: You were supposed,0,0.0,0.086,0.832,0.123,0.104,0.16,0.16,0.0,DEGENERATE_AUTO
14,How disappointed are you in your labmate?,Extremely disappointed.,mistake that i have not made a mistake that mistake that i have not ma,0,0.0,0.086,0.766,0.148,0.109,0.099,0.099,0.0,DEGENERATE_AUTO
15,What discord does this situation create in the team?,Distrust among team members.,"Yesterday, we handed in our project reports to the supervisor. a mista",0,0.0,0.194,0.685,0.12,0.106,0.046,0.046,0.0,DEGENERATE_AUTO
16,How did the interaction affect Bob's self-esteem?,It likely diminished his self-esteem.,Bob's self-esteem was significantly affected by his teammates' contrib,0,0.008,0.505,0.906,0.131,0.137,0.495,0.495,0.0,DEGENERATE_AUTO
17,Did Bob feel connected to his teammate during the session?,"No, he felt disconnected.",Bob felt disconnected from his teammate during the session because he,0,0.019,0.579,0.968,0.133,0.187,0.949,0.541,0.0,DEGENERATE_AUTO
18,How might Bob feel towards his teammate's behavior?,He may feel angry.,A) ashamed B) angry C)Answer: A) ashamed B) angry C) A) indifferent D),0,0.0,0.356,0.838,0.133,0.14,0.249,0.249,0.0,DEGENERATE_AUTO
19,Is Bob disappointed in his team's dynamics?,"Yes, he is likely disappointed.",Bob is not disappointed in his team dynamics. over Bob's contributions,0,0.01,0.333,0.921,0.122,0.1,0.857,0.0,0.0,DEGENERATE_AUTO
20,What overall tone did the interaction create for Bob?,It created a negative tone.,Bob's contribution was significant as it made him understand the impor,0,0.017,0.178,0.838,0.138,0.111,0.885,0.885,0.0,DEGENERATE_AUTO
21,How do you feel about the rumors spread about Jane?,Very negative.,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMPTY
22,What emotions does Jane feel towards her neighbor?,Intense anger.,her neighbor is spreading false rumors her her neighbor is spreading f,0,0.0,0.098,0.885,0.16,0.099,0.057,0.057,0.0,DEGENERATE_AUTO
23,How disappointed is Jane in her community's response?,Highly disappointed.,her community was greatly affected by it. Her neighbor had spread fals,0,0.0,0.082,0.814,0.18,0.123,0.386,0.386,0.0,DEGENERATE_AUTO
24,What fears does Jane have about the rumors?,Fear of isolation.,her false rumors her reputation by spreading false rumors her reputati,0,0.0,0.101,0.842,0.138,0.111,0.129,0.129,0.0,DEGENERATE_AUTO
25,How proud is Jane of her character despite the rumors?,Very proud.,Her neighbors have been spreading false rumors her her reputation for,0,0.0,0.11,0.881,0.125,0.148,0.972,0.972,0.0,DEGENERATE_AUTO
26,What negative feelings might Karen experience?,Frustration and anxiety.,Karen experienced stress and anxiety as she needed to earn more money,0,0.015,0.444,0.902,0.189,0.134,0.245,0.245,0.0,DEGENERATE_AUTO
27,What fears could Karen have about her job?,Fear of losing her job.,Karen had been worried about her job because her manager called her he,0,0.009,0.432,0.907,0.173,0.129,0.696,0.696,0.0,DEGENERATE_AUTO
28,How disappointed might Karen feel about her hours?,Very disappointed.,... I A)...I A.........I A......... I A......... I A......... I A.....,0,0.0,0.085,0.91,0.115,0.146,0.095,0.095,0.0,NOT_EQUIVALENT
