idx,Q,GOLD,PRED,EM,F1,BiA,BiQ,CrA,CrQ,BEM,PA,LJ,LJ_label
1,How did the accusation make you feel?,It felt very negative.,I felt neutral.,0,0.286,0.608,0.903,0.056,0.096,0.486,0.486,0.0,NOT_EQUIVALENT
2,What was your initial reaction to the accusation?,I felt angry and defensive.,I remained calm and asked for clarification on the specific concerns m,0,0.114,0.348,0.749,0.036,0.084,0.24,0.24,0.0,NOT_EQUIVALENT
3,How did the accusation affect your self-esteem?,It lowered my self-esteem.,"My self-esteem was not affected, as I am an artificial intelligence an",0,0.087,0.604,0.859,0.046,0.092,0.888,0.888,0.0,NOT_EQUIVALENT
4,Did the accusation affect your relationship with your colleague?,"Yes, it damaged our relationship.",Yes.,0,0.0,0.176,0.965,0.073,0.179,0.653,0.363,0.5,PARTIAL
5,How did you feel about your colleague's accusation?,I felt disappointed in them.,I felt embarrassed and defensive.,0,0.4,0.424,0.896,0.065,0.123,0.573,0.573,0.5,PARTIAL
6,How does Dea feel about her speaking abilities?,She feels inadequate and embarrassed.,Dea likely feels anxious or insecure about her speaking abilities.,0,0.133,0.409,0.907,0.081,0.154,0.335,0.335,0.5,PARTIAL
7,What contributes to Dea's reluctance to speak up?,Fear of judgment and low confidence.,Shyness or introversion...,0,0.0,0.415,0.864,0.03,0.122,0.038,0.038,0.0,NOT_EQUIVALENT
8,What fears might Dea have about participating in class?,Fear of making mistakes or being ridiculed.,"Dea might fear being judged, saying something incorrect, not knowing t",0,0.364,0.349,0.924,0.139,0.156,0.968,0.968,1.0,EQUIVALENT
9,How might Dea feel about her participation grades?,She feels disappointed in herself.,Dea might feel anxious and self-conscious.,0,0.0,0.243,0.914,0.042,0.131,0.586,0.586,0.5,PARTIAL
10,How connected does Dea feel with her classmates?,She feels isolated and disconnected.,Dea feels somewhat disconnected from her classmates.,0,0.167,0.61,0.965,0.121,0.176,0.949,0.949,0.5,PARTIAL
11,What negative feelings arise from the labmate's actions?,Frustration and betrayal.,<unappreciation>...</unappreciation>,0,0.0,0.197,0.859,0.002,0.104,0.037,0.037,0.0,NOT_EQUIVALENT
12,How angry do you feel about the labmate's report?,Very angry.,<anger level: neutral>,0,0.0,0.439,0.958,0.072,0.132,0.695,0.695,0.0,NOT_EQUIVALENT
13,How has this incident affected your self-esteem?,It has decreased my self-esteem.,My self-esteem has been negatively affected.,0,0.364,0.793,0.973,0.181,0.191,0.956,0.956,1.0,EQUIVALENT
14,How disappointed are you in your labmate?,Extremely disappointed.,Very disappointed,0,0.0,0.857,0.987,0.19,0.193,0.987,0.987,1.0,EQUIVALENT
15,What discord does this situation create in the team?,Distrust among team members.,Discord.,0,0.0,0.238,0.799,0.031,0.163,0.21,0.21,0.5,PARTIAL
16,How did the interaction affect Bob's self-esteem?,It likely diminished his self-esteem.,Bob's self-esteem was likely negatively affected.,0,0.182,0.64,0.96,0.137,0.193,0.974,0.974,1.0,EQUIVALENT
17,Did Bob feel connected to his teammate during the session?,"No, he felt disconnected.","No, Bob likely did not feel connected to his teammate during the sessi",0,0.118,0.587,0.958,0.084,0.155,0.937,0.937,1.0,EQUIVALENT
18,How might Bob feel towards his teammate's behavior?,He may feel angry.,Bob might feel undervalued and frustrated.,0,0.2,0.435,0.904,0.074,0.136,0.687,0.687,1.0,EQUIVALENT
19,Is Bob disappointed in his team's dynamics?,"Yes, he is likely disappointed.",Yes.,0,0.0,0.111,0.969,0.064,0.173,0.694,0.379,1.0,EQUIVALENT
20,What overall tone did the interaction create for Bob?,It created a negative tone.,Negative.,0,0.0,0.36,0.983,0.148,0.193,0.973,0.973,1.0,EQUIVALENT
21,How do you feel about the rumors spread about Jane?,Very negative.,I am neutral.,0,0.0,0.296,0.946,0.034,0.101,0.137,0.137,0.0,NOT_EQUIVALENT
22,What emotions does Jane feel towards her neighbor?,Intense anger.,"anger, hurt, frustration.",0,0.0,0.746,0.965,0.121,0.142,0.772,0.772,0.5,PARTIAL
23,How disappointed is Jane in her community's response?,Highly disappointed.,Very disappointed,0,0.0,0.838,0.992,0.19,0.194,0.983,0.983,1.0,EQUIVALENT
24,What fears does Jane have about the rumors?,Fear of isolation.,"Loss of trust, respect, relationships, and social isolation.",0,0.364,0.608,0.914,0.058,0.14,0.979,0.979,1.0,EQUIVALENT
25,How proud is Jane of her character despite the rumors?,Very proud.,Very proud.,1,1.0,1.0,1.0,0.19,0.194,0.988,0.988,1.0,EQUIVALENT
26,What negative feelings might Karen experience?,Frustration and anxiety.,"Karen might experience feelings of anxiety, stress, uncertainty, and p",0,0.133,0.535,0.917,0.124,0.145,0.989,0.989,1.0,EQUIVALENT
27,What fears could Karen have about her job?,Fear of losing her job.,"Financial instability, reduced income, decreased job security, impact",0,0.0,0.312,0.897,0.063,0.132,0.058,0.058,1.0,EQUIVALENT
28,How disappointed might Karen feel about her hours?,Very disappointed.,Very disappointed,0,0.5,0.91,0.996,0.192,0.194,0.985,0.985,1.0,EQUIVALENT
29,What hopes might Karen have for her situation?,Hope for more hours in the future.,Karen might hope that her manager will:,0,0.143,0.292,0.897,0.005,0.1,0.437,0.437,0.0,NOT_EQUIVALENT
30,How secure does Karen feel about her job now?,She feels insecure.,Karen likely feels insecure about her job.,0,0.2,0.613,0.987,0.124,0.179,0.99,0.99,1.0,EQUIVALENT
31,How disappointed do you feel about the feedback?,Very disappointed.,Neutral to disappointed,0,0.0,0.473,0.95,0.097,0.129,0.939,0.939,0.5,PARTIAL
32,Do you feel your efforts were recognized?,Not at all.,No.,0,0.0,0.359,0.99,0.134,0.192,0.394,0.264,1.0,EQUIVALENT
33,How negative was the feedback you received?,Quite negative.,Very negative.,0,0.5,0.94,0.996,0.188,0.192,0.988,0.988,0.5,PARTIAL
34,Did the feedback affect your self-esteem?,"Yes, it lowered it.",It is unclear whether the feedback affected Ian's self-esteem.,0,0.154,0.167,0.82,0.054,0.112,0.729,0.392,0.0,NOT_EQUIVALENT
35,Are you angry about the feedback?,Somewhat angry.,"No, I'm not angry about the feedback.",0,0.0,0.458,0.961,0.053,0.109,0.894,0.894,0.0,NOT_EQUIVALENT
36,How disappointed do you feel about the feedback?,Very disappointed.,Somewhat disappointed.,0,0.5,0.847,0.991,0.098,0.126,0.987,0.987,0.5,PARTIAL
37,What are your feelings towards the teaching assistant's feedback?,Frustration and anger.,Unhelpful,0,0.0,0.285,0.882,0.002,0.117,0.039,0.039,0.5,PARTIAL
38,Did the feedback make you feel effective in your presentation?,Not at all effective.,No.,0,0.0,0.273,0.985,0.052,0.19,0.387,0.22,1.0,EQUIVALENT
39,How negative was the feedback you received?,Quite negative.,Not very helpful.,0,0.0,0.329,0.958,0.031,0.147,0.713,0.713,0.5,PARTIAL
40,How significant is this presentation for you?,Very significant.,Somewhat significant...,0,0.0,0.834,0.965,0.106,0.123,0.986,0.986,0.0,NOT_EQUIVALENT
41,What negativity did Kyle experience during practice?,He faced heavy criticism.,Criticism.,0,0.4,0.615,0.98,0.14,0.185,0.756,0.756,0.5,PARTIAL
42,What positive feedback did Gary give during the meeting?,Gary praised Kyle's project plan.,There is no information about the positive feedback given by Gary duri,0,0.105,0.312,0.756,0.083,0.109,0.428,0.428,0.0,NOT_EQUIVALENT
43,How might Kyle feel about Gary's initial criticism?,Kyle likely feels disappointed.,Kyle might feel betrayed or confused.,0,0.2,0.755,0.939,0.097,0.127,0.659,0.659,0.5,PARTIAL
44,How did the feedback affect Kyle's self-esteem?,It likely fluctuated due to mixed feedback.,Positive.,0,0.0,0.185,0.951,0.034,0.12,0.064,0.064,0.0,NOT_EQUIVALENT
45,Did Gary acknowledge Kyle's effort on the project?,"Yes, during the positive feedback.",No,0,0.0,0.248,0.925,0.032,0.104,0.341,0.0,0.0,DEGENERATE_AUTO
46,How disappointed do you think Matt feels?,Very disappointed.,Somewhat disappointed.,0,0.5,0.847,0.994,0.098,0.13,0.986,0.986,0.5,PARTIAL
47,How effective do you think Matt feels in this situation?,Not effective at all.,Ineffective.,0,0.0,0.663,0.969,0.174,0.188,0.881,0.527,1.0,EQUIVALENT
48,What negative feelings might Matt experience?,Frustration and guilt.,"Guilt, frustration, and disappointment.",0,0.286,0.884,0.969,0.151,0.161,0.989,0.989,1.0,EQUIVALENT
49,Does Matt still hope to contribute later?,"Possibly, but uncertain.",Yes,0,0.0,0.21,0.976,0.078,0.134,0.074,0.074,0.0,NOT_EQUIVALENT
50,How significant is this hackathon for Matt's self-image?,Very significant.,Somewhat significant.,0,0.5,0.877,0.997,0.107,0.138,0.987,0.987,0.5,PARTIAL
51,How did the accusation make you feel?,It felt very negative.,I felt neutral.,0,0.286,0.608,0.903,0.056,0.096,0.486,0.486,0.0,NOT_EQUIVALENT
52,What emotions did the accusation trigger in you?,I felt angry and defensive.,"I'm a careful reasoning assistant, and I don't have emotions. I am des",0,0.089,0.414,0.842,0.077,0.088,0.085,0.085,0.0,NOT_EQUIVALENT
53,Were you disappointed by your colleague's words?,"Yes, very disappointed.","No, I was not disappointed by the colleague's words.",0,0.0,0.571,0.972,0.041,0.093,0.965,0.0,0.0,NOT_EQUIVALENT
54,Did the accusation affect your self-esteem?,"Yes, it lowered my self-esteem.","I'm an assistant and do not have personal experiences or emotions, inc",0,0.051,0.222,0.849,0.055,0.099,0.678,0.367,0.0,NOT_EQUIVALENT
55,Do you feel this accusation created discord in the team?,"Yes, it caused tension.",Yes.,0,0.0,0.196,0.898,0.073,0.185,0.497,0.285,1.0,EQUIVALENT
