idx,Q,GOLD,PRED,EM,F1,BiA,BiQ,CrA,CrQ,BEM,PA,LJ,LJ_label
0,How did the accusation make you feel?,It felt very negative.,"I felt defensive, insecure, embarrassed, and stressed due to the public criticism of my work ethic and contribution to the team.",0,0.08,0.3524,0.6803,0.0719,0.108,0.3102,0.3102,1.0,EQUIVALENT
1,What was your initial reaction to the accusation?,I felt angry and defensive.,"My initial reaction was to remain calm and open to discussing the situation further. I expressed my willingness to understand the concerns raised and to clarify my contributions to the project, emphasizing my commitment to the team's success.",0,0.093,0.4095,0.7119,0.0492,0.085,0.1841,0.1841,0.0,NOT_EQUIVALENT
2,How did the accusation affect your self-esteem?,It lowered my self-esteem.,"The accusation negatively impacted my self-esteem by causing me to question my professional abilities and worth within the team, leading to feelings of inadequacy and self-doubt.",0,0.0667,0.5914,0.8817,0.1111,0.1367,0.9791,0.9791,0.5,PARTIAL
3,Did the accusation affect your relationship with your colleague?,"Yes, it damaged our relationship.","Yes, the accusation likely affected the relationship between the colleague and me, as it could have led to strained communication and trust issues.",0,0.1429,0.5281,0.936,0.1176,0.1479,0.8677,0.4926,1.0,EQUIVALENT
4,How did you feel about your colleague's accusation?,I felt disappointed in them.,"I felt hurt, defensive, and anxious due to the public nature of the accusation and its potential impact on my professional reputation and self-perception.",0,0.1379,0.1181,0.8253,0.0548,0.1237,0.5927,0.5927,0.5,PARTIAL
5,How does Dea feel about her speaking abilities?,She feels inadequate and embarrassed.,Dea feels embarrassed and insecure about her speaking abilities.,0,0.2857,0.5201,0.9558,0.1186,0.1801,0.9611,0.9611,1.0,EQUIVALENT
6,What contributes to Dea's reluctance to speak up?,Fear of judgment and low confidence.,"Dea's reluctance to speak up in class is primarily due to her embarrassment and fear of negative judgment, which likely originates from past experiences or inherent discomfort with public speaking. This anxiety causes her to avoid participating, leading to low class participation grades.",0,0.1633,0.3753,0.7533,0.1325,0.152,0.7623,0.7623,1.0,EQUIVALENT
7,What fears might Dea have about participating in class?,Fear of making mistakes or being ridiculed.,"Dea's fears about participating in class likely revolve around social anxiety, fear of judgment, and potential embarrassment due to her lack of confidence in her knowledge or abilities, and discomfort with public speaking and being the center of attention.",0,0.1739,0.5322,0.9029,0.1167,0.1492,0.1795,0.1795,1.0,EQUIVALENT
8,How might Dea feel about her participation grades?,She feels disappointed in herself.,"Dea probably feels frustrated, anxious, and embarrassed about her participation grades due to her awareness of the negative impact on her academic performance and the added pressure from her teacher's feedback.",0,0.0556,0.3877,0.8781,0.0939,0.1412,0.9397,0.9397,1.0,EQUIVALENT
9,How connected does Dea feel with her classmates?,She feels isolated and disconnected.,"Dea likely feels somewhat disconnected from her classmates, as her shyness and low class participation grades suggest a lack of active engagement and confidence in social interactions within the classroom setting.",0,0.1111,0.4285,0.841,0.1155,0.135,0.9823,0.9823,0.5,PARTIAL
10,What negative feelings arise from the labmate's actions?,Frustration and betrayal.,"Frustration, injustice, resentment, and a loss of trust",0,0.1818,0.738,0.9359,0.134,0.1426,0.9796,0.9796,1.0,EQUIVALENT
